PuzzleId,GameId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
00347,xFM0YP9S#83,8/2p5/8/2pPk2p/8/4K2P/6P1/8 w - - 1 42,e3d3 h5h4 d3c4 e5d6,2264,75,87,122,['crushing' 'endgame' 'pawnEndgame' 'quietMove' 'short'],
0039T,BrtVeJlj#49,1r5r/p3kp2/4p2p/4P3/3R1Pp1/6P1/P1P4P/4K2R w K - 1 25,d4a4 b8b1 e1f2 b1h1 a4a7 e7f8,1073,91,93,816,['crushing' 'defensiveMove' 'endgame' 'long' 'rookEndgame' 'skewer'],
003AX,kRgejRSt/black#36,2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18,c5d4 c2h7,1000,77,96,641,['kingsideAttack' 'mate' 'mateIn1' 'middlegame' 'oneMove'],['French_Defense' 'French_Defense_Advance_Variation']
003Ec,qnd2dxXz/black#64,3r4/p4R2/1pb2Pp1/n1p1Q1kp/8/P2q4/1P4PP/6RK b - - 2 32,d3f5 e5e3 f5f4 h2h4 g5f5 e3h3,1500,500,100,0,['crushing' 'long' 'pin'],
003IM,7CNJ1GaI#67,8/5kp1/p3pb2/8/6Pp/1P4qP/P2RQ3/7K w - - 2 34,e2g2 g3e1 g2g1 e1d2,1151,84,62,51,['crushing' 'deflection' 'endgame' 'master' 'short'],
003IX,576Btq56#85,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1710,84,89,1983,['endgame' 'mate' 'mateIn1' 'oneMove'],
003Jb,8RvK0idj#43,6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22,d4a7 e7g5 c1b1 g5h6,993,81,90,392,['advantage' 'fork' 'master' 'middlegame' 'short'],
003S3,Eu6S0GPA/black#30,r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15,a8b8 g5e6 f8g8 e6c7,1398,74,95,12919,['advantage' 'middlegame' 'pin' 'short'],['Modern_Defense' 'Modern_Defense_Other_variations']
003Tx,A7j9VEC0#53,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1518,87,82,747,['backRankMate' 'endgame' 'fork' 'mate' 'mateIn2' 'short'],
003UW,cXMga3rb/black#80,8/6pk/7p/2p5/2qp4/5PP1/P3QK1P/8 b - - 1 40,c4d5 e2e4 d5e4 f3e4,1476,75,93,974,['advantage' 'endgame' 'queenEndgame' 'short'],
003YF,5DK4vDDB#29,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15,c1f4 h4f2,1054,86,79,72,['attackingF2F7' 'mate' 'mateIn1' 'middlegame' 'oneMove'],['Mexican_Defense' 'Mexican_Defense_Other_variations']
003aS,I7ZktFeR#85,8/8/5k1p/6p1/1R4PP/1p2KP2/8/1r6 w - - 0 43,h4h5 b3b2 b4b6 f6e5 f3f4 g5f4,2030,79,92,192,['advancedPawn' 'crushing' 'defensiveMove' 'endgame' 'long' 'rookEndgame'],
003cs,PmRTKflq/black#32,2r1kbnr/pp4pp/4p3/3pP1N1/3q4/1P2B3/P3Q1PP/nN3RK1 b k - 1 16,d4e5 f1f8 e8f8 e3c5 c8c5 e2e5 c5c1 g1f2,1973,85,89,62,"['advantage' 'attraction' 'discoveredAttack' 'exposedKing' 'middlegame'
 'sacrifice' 'veryLong']",['Caro-Kann_Defense' 'Caro-Kann_Defense_Advance_Variation']
003eP,n9vCFmKh/black#72,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1156,79,88,1755,['crushing' 'exposedKing' 'long' 'middlegame' 'skewer'],
003if,mYGtlm6w/black#86,8/3q1kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 b - - 0 43,d7b7 e5h5 f7e7 e3c5 c2c5 h5c5,1664,98,53,24,['advantage' 'endgame' 'long'],
003jH,3CQGofXT#49,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1065,79,89,317,['crushing' 'fork' 'long' 'middlegame'],
003jb,960EzUS0/black#22,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,983,86,95,2585,['crushing' 'fork' 'master' 'middlegame' 'short'],['French_Defense' 'French_Defense_Classical_Variation']
003jv,n0UvwK36#73,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1007,84,89,340,['crushing' 'endgame' 'fork' 'short'],
003md,ALtR2fxT#19,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2149,77,85,212,['crushing' 'defensiveMove' 'middlegame' 'veryLong'],['Russian_Game' 'Russian_Game_Italian_Variation']
003mh,HSa4keKZ/black#46,r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR b - - 1 23,a8e8 e1e8 f8e8 d5f6 e8e7 f6g4,1424,77,94,183,['advantage' 'attraction' 'fork' 'long' 'middlegame' 'sacrifice'],
003nQ,p85fiZcl#57,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1287,87,67,32,['crushing' 'kingsideAttack' 'master' 'middlegame' 'pin' 'short'],
003o0,Ae0t9V1Z#17,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1003,83,90,676,['advantage' 'fork' 'master' 'opening' 'short'],['Czech_Defense' 'Czech_Defense_Other_variations']
